"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"BL_to_F1","ipaq_direction","M1","ipaq_directionimproved",-0.0306432644492535,0.0366508058051446,-0.836087059372434,0.403105927829963,0.969821481173712,0.902598436479299,1.04205111302289,18074,3930
"BL_to_F1","ipaq_direction","M1","ipaq_directionworsened",0.00855843757525578,0.0488876903803987,0.175063242068953,0.861029940770375,1.00859516570582,0.91643908854238,1.11001835365091,18074,3930
"BL_to_F1","ipaq_direction","M1","age_landmark_5",0.580741714488756,0.0115446963967812,50.3037667279561,0,1.78736365273906,1.74737476153481,1.82826769474836,18074,3930
"BL_to_F1","ipaq_direction","M1","sex_fctmale",0.548779193520339,0.0325257062652273,16.8721684025976,0.000000000000000000000000000000000000000000000000000000000000000721003179922738,1.73113834241967,1.62422370342713,1.84509064500916,18074,3930
"BL_to_F1","ipaq_direction","M1","phase_fct2",-0.058804425816477,0.0420080333633486,-1.39983762886132,0.161561946832384,0.942891156293873,0.868368896820649,1.02380881658964,18074,3930
"BL_to_F1","ipaq_direction","M1","phase_fct3",-0.0200590372434934,0.0418957446912778,-0.478784597130444,0.63209187547252,0.980140806787164,0.902873171379539,1.06402098498678,18074,3930
"BL_to_F1","ipaq_direction","M3","ipaq_directionimproved",-0.0506454622846396,0.0474217940324768,-1.067978622866,0.285530154773204,0.950615639891877,0.866242427108808,1.04320692051895,10746,2656
"BL_to_F1","ipaq_direction","M3","ipaq_directionworsened",-0.00775791949319939,0.0533241973183653,-0.145485912275092,0.884327237786249,0.992272095496122,0.893801623804655,1.10159109726059,10746,2656
"BL_to_F1","ipaq_direction","M3","age_landmark_5",0.536863736850753,0.0163353146371735,32.8652216853562,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000690426114742443,1.71063344373075,1.65673220080126,1.76628834605548,10746,2656
"BL_to_F1","ipaq_direction","M3","sex_fctmale",0.36704469049499,0.0581340844188059,6.31376057891873,0.000000000272335157445866,1.44346242672408,1.28801719630295,1.61766767038885,10746,2656
"BL_to_F1","ipaq_direction","M3","phase_fct2",NA,0,NA,NA,NA,NA,NA,10746,2656
"BL_to_F1","ipaq_direction","M3","phase_fct3",0.0350034258851836,0.053204032030458,0.657909270206156,0.510596433497903,1.03562325671992,0.93307046040209,1.14944752339173,10746,2656
"BL_to_F1","ipaq_direction","M3","edu_fctjunior_college",-0.106227543996524,0.12407584185131,-0.856150096678974,0.39191476156458,0.899220012679589,0.705102761797893,1.14677842012942,10746,2656
"BL_to_F1","ipaq_direction","M3","edu_fctsenior_middle",0.00963884155413382,0.102127447055144,0.0943805199490525,0.924806889552845,1.00968544480081,0.82652321275541,1.23343746637675,10746,2656
"BL_to_F1","ipaq_direction","M3","edu_fctjunior_middle",-0.00044198164794437,0.0995729690434584,-0.0044387714074436,0.996458384454964,0.999558116011556,0.822339941888804,1.21496765071357,10746,2656
"BL_to_F1","ipaq_direction","M3","edu_fctprimary",0.0715406071863628,0.0983356474245312,0.727514477812,0.466910849608379,1.07416176850283,0.885862333574802,1.30248624552868,10746,2656
"BL_to_F1","ipaq_direction","M3","edu_fctlt_primary",0.119205354773659,0.111305306273295,1.0709763870643,0.284180047058461,1.12660124747944,0.905788868737327,1.40124306516545,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fct30000_band",0.0255684163778143,0.0778698939982144,0.328347902700376,0.742648628856429,1.02589809210096,0.880686315641833,1.19505308153829,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fct20000_band",0.144945075625612,0.0747769683960666,1.93836523109482,0.0525786791854868,1.15597607726153,0.998386214251081,1.3384406476439,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fct10000_band",0.238205454646116,0.0800969215292951,2.97396516742524,0.00293978444741857,1.26896988180211,1.08460771994058,1.48467001600273,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fct5000_band",0.206069008114044,0.104999013654866,1.96258041805418,0.0496949479094297,1.22883800086235,1.00027476067808,1.50962804593782,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fctlt5000",0.0866677591524165,0.170901158857007,0.50712212680156,0.612069130548481,1.09053429948287,0.780131832836223,1.52444113711518,10746,2656
"BL_to_F1","ipaq_direction","M3","incomeh_fctnotknow",0.144253975209842,0.0737520063763045,1.95593289318552,0.0504730598660139,1.15517745770885,0.999702743114302,1.33483174672665,10746,2656
"BL_to_F1","ipaq_direction","M3","marital_fctseparate",0.149325297232847,0.175004603616066,0.853264966448792,0.393512383304713,1.16105061433759,0.823923640235929,1.63612070733604,10746,2656
"BL_to_F1","ipaq_direction","M3","marital_fctwidow",0.077713318875392,0.0527100597026726,1.47435459784637,0.140386142018729,1.08081276563282,0.974728313374174,1.19844290796387,10746,2656
"BL_to_F1","ipaq_direction","M3","marital_fctnever_married",0.0425306451595395,0.305460193506737,0.13923465663817,0.889264723181403,1.04344803251515,0.573406532616305,1.89879907993356,10746,2656
"BL_to_F1","ipaq_direction","M3","smk_fctex_occasional",0.152814446215731,0.0856256738947374,1.78468021639854,0.0743132016914748,1.16510876854294,0.985103279748714,1.37800621563449,10746,2656
