"interval","n","events","age_landmark_mean","age_landmark_sd","prop_male","met_change_mean","met_change_sd","met_change_median"
"BL_to_F1",18103,3944,65.2601926594361,7.07524840881732,0.272054355631663,6841.12288958853,383951.700570813,2184
"F1_to_F2",10547,1383,68.1686673566933,6.90182158143078,0.266142030909263,-8077.01483235183,500716.091549169,-1946
"F2_to_F3",5372,479,69.8330111550195,6.44875902010109,0.260796723752792,-83.459929078016,4439.00276910728,-294
