"outcome","model_id","n","nevent","loglik_null","loglik_fit","aic","concordance","concordance_se"
"all_cause","S1_M3_ic5_lag1y",5070,889,-7477.78573241975,-6880.2669623167,13824.5339246334,0.799517419432865,0.00733693779581091
"all_cause","S2_M3_ic5_syn",5083,902,-7588.70791448364,-6996.6854311708,14053.3708623416,0.796458832684223,0.00732612661603199
"all_cause","S3_M3_ic5_hxht_hxdm",5112,908,-7644.67154398466,-7053.1819688126,14170.3639376252,0.794536582149098,0.00740830287915387
"all_cause","S4_M3_ic5_marital_missingcat",5138,914,-7699.86171013858,-7092.83013563347,14251.6602712669,0.797676474415641,0.00727511669619176
"all_cause","S5_M3_ic5_plus_cxcopd",5022,891,-7485.16202480906,-6892.1225357847,13850.2450715694,0.79745689545122,0.00739812844580793
