"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S1_M3_ic5_lag1y","ic5_per1lower",0.132561772556857,0.0264978740113288,5.00273238902795,5.65233808571957e-07,1.1417495426994,1.08396638655955,1.20261295407122,5070,889
"all_cause","S1_M3_ic5_lag1y","agec_5",0.517670970923354,0.027336424010322,18.9370405846751,5.64840867621242e-80,1.678114716831,1.590570193797,1.77047766507071,5070,889
"all_cause","S1_M3_ic5_lag1y","sex_fctmale",0.675712950655459,0.110892898795494,6.09338341764872,1.10548852353752e-09,1.9654337338437,1.58148908628246,2.44259021174227,5070,889
"all_cause","S1_M3_ic5_lag1y","phase_fct2",NA,0,NA,NA,NA,NA,NA,5070,889
"all_cause","S1_M3_ic5_lag1y","phase_fct3",NA,0,NA,NA,NA,NA,NA,5070,889
"all_cause","S1_M3_ic5_lag1y","edu_fctjunior_college",0.153339371990026,0.224800084459862,0.682114387805778,0.495166623528271,1.16572052471465,0.75031609797743,1.81110913840726,5070,889
"all_cause","S1_M3_ic5_lag1y","edu_fctsenior_middle",0.158598527810315,0.197717312127926,0.802147905529384,0.422467406527475,1.17186738006424,0.795391937172928,1.72653643100742,5070,889
"all_cause","S1_M3_ic5_lag1y","edu_fctjunior_middle",0.222906146343893,0.195027455717617,1.14294751743386,0.25306038201833,1.24970327901002,0.852705841334784,1.83153229386078,5070,889
"all_cause","S1_M3_ic5_lag1y","edu_fctprimary",0.0521232765247528,0.195637532194971,0.266427796036637,0.789909760454007,1.05350560701862,0.71797592538416,1.54583743657675,5070,889
"all_cause","S1_M3_ic5_lag1y","edu_fctlt_primary",0.104428915340153,0.220241416144927,0.47415657403617,0.635388257947547,1.11007648165242,0.720913350732843,1.70931748436225,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fct30000_band",0.0654163871032465,0.114181131096276,0.572917665775164,0.566700442707091,1.06760346816297,0.853530060106421,1.33536851073702,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fct20000_band",0.306822204251712,0.115323338333529,2.66053869655028,0.00780157619482651,1.3590993045114,1.08414603712782,1.70378422856845,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fct10000_band",0.301034860145146,0.129065638911993,2.33241676625034,0.0196787769287346,1.35125644571281,1.04924499824181,1.74019793769806,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fct5000_band",0.247480923014805,0.20209027625879,1.22460579299664,0.220723784193971,1.28079492844477,0.861906278318468,1.90326453118575,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fctlt5000",-0.0691563727243548,0.245165806073033,-0.282080008758455,0.777882161754947,0.933180744652983,0.577138779189358,1.50886811559301,5070,889
"all_cause","S1_M3_ic5_lag1y","incomeh_fctnotknow",0.299104000917031,0.123071803080389,2.43032110874056,0.015085451028366,1.3486498770035,1.05959599572755,1.71655659145132,5070,889
"all_cause","S1_M3_ic5_lag1y","marital_fctseparate",0.580537539798281,0.276066321265556,2.10289157017398,0.0354752488939355,1.78699875557114,1.04024627996073,3.06981588295932,5070,889
"all_cause","S1_M3_ic5_lag1y","marital_fctwidow",0.0266724454764934,0.0977305448939524,0.272918211040732,0.784916087363879,1.02703133890053,0.847998931932042,1.24386167407147,5070,889
"all_cause","S1_M3_ic5_lag1y","marital_fctnever_married",-0.221655921013234,0.516030202216489,-0.429540596773526,0.667529856592142,0.801190989897468,0.291400539943882,2.20283394950642,5070,889
"all_cause","S1_M3_ic5_lag1y","smk_fctex_occasional",0.111047688767897,0.133872902273141,0.829500868975902,0.406821045280547,1.11744819531144,0.859556794169055,1.45271432635457,5070,889
"all_cause","S1_M3_ic5_lag1y","smk_fctex_daily",0.253725818156492,0.120565414927858,2.10446601380928,0.0353378162393014,1.28881838521867,1.01757459442002,1.63236468283134,5070,889
"all_cause","S1_M3_ic5_lag1y","smk_fctcurrent",0.65665185042448,0.115493581867545,5.6856133458357,1.30343999659112e-08,1.92832519278905,1.53770122397748,2.41817980708026,5070,889
"all_cause","S1_M3_ic5_lag1y","drk1_fctlt1_month",-0.0188765320664148,0.0807000341924019,-0.233909839758062,0.815054974078723,0.981300513910158,0.837741505031915,1.1494604156728,5070,889
"all_cause","S1_M3_ic5_lag1y","drk1_fctlt1_week",-0.373745789241951,0.207987065789051,-1.7969664980082,0.0723409385144962,0.688151825192743,0.457767920342673,1.03448256959905,5070,889
"all_cause","S1_M3_ic5_lag1y","drk1_fct1to4_week",-0.144736227072299,0.167451715124159,-0.864346041275138,0.387397824967259,0.865250492668631,0.623170228303649,1.2013706384871,5070,889
"all_cause","S1_M3_ic5_lag1y","drk1_fctge5_week",0.0257969036976038,0.128648672957122,0.20052211270148,0.84107226574469,1.02613252358769,0.797439059265316,1.32041181546151,5070,889
"all_cause","S1_M3_ic5_lag1y","drk1_fctex_drinker",0.0984462689398101,0.167293006525235,0.588466134864761,0.5562194582384,1.10345511298842,0.794977076992608,1.53163307675047,5070,889
"all_cause","S1_M3_ic5_lag1y","walk_any_fctyes",0.16788995051553,0.189396541457037,0.886446759924676,0.375376831361703,1.18280643624659,0.816016707347794,1.71446375181885,5070,889
"all_cause","S1_M3_ic5_lag1y","bmi",-0.0245664752070606,0.0110036079552918,-2.23258364955163,0.0255764133212208,0.975732824720942,0.954914806342092,0.997004694989346,5070,889
"all_cause","S1_M3_ic5_lag1y","hyp_fctyes",0.127227954481627,0.0736888152432962,1.72655719950935,0.0842472182565628,1.13567587068142,0.982947597053743,1.31213473344245,5070,889
"all_cause","S1_M3_ic5_lag1y","diab_fctyes",0.528029024255627,0.0889080060080843,5.93904922586628,2.86679784212995e-09,1.69558705203968,1.42443114074559,2.01836043091541,5070,889
"all_cause","S1_M3_ic5_lag1y","hxchd_fctyes",-0.0020499935703801,0.174032483041175,-0.011779373221349,0.990601637314082,0.997952106231334,0.70953362393848,1.40360988222583,5070,889
"all_cause","S1_M3_ic5_lag1y","hxstroke_fctyes",0.251653949500709,0.23959222806691,1.05034270740381,0.293560576477489,1.28615088711041,0.80417514741362,2.05699480981858,5070,889
"all_cause","S1_M3_ic5_lag1y","cancerhx_fctyes",0.82271348087309,0.207292640639694,3.96885040556308,7.22202000437774e-05,2.27666916180022,1.51653385292313,3.41780861818641,5070,889
