"ic3_classic_fct","n","deaths","person_time","death_rate_per_1000_py"
"high",547,66,8622.75974047184,7.65416200688301
"middle",3904,552,61252.6186859459,9.01185960440666
"low",2099,543,31356.3504437357,17.3170663140257
