"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","M1_ic5","ic5_per1lower",0.160921617681791,0.0213268072568882,7.5455090742575,4.50524140247834e-14,1.17459289789126,1.12650716756256,1.22473120056733,6550,1161
"all_cause","M2_ic5","ic5_per1lower",0.152479829074051,0.0226474461141885,6.73276043158452,1.66474044223718e-11,1.16471896839761,1.11414985292952,1.21758331859781,6477,1145
"all_cause","M3_ic5","ic5_per1lower",0.136634824142865,0.0262824038356353,5.198718693973,2.00666938278036e-07,1.14640943102569,1.08885018051072,1.20701140254961,5083,902
"all_cause","M3_ic3","ic3_classic_fctmiddle",0.0991687729195783,0.142316098919654,0.696820483925471,0.485915145209177,1.10425265177683,0.83546597542613,1.45951355868707,5083,902
"all_cause","M3_ic3","ic3_classic_fctlow",0.403321889035535,0.156658332574249,2.57453199206227,0.0100375803261457,1.49678861397221,1.10106423594387,2.03473701331905,5083,902
