"metric","n","missing","mean","sd","min","p25","median","p75","max"
"ic5",6550,0,6.49702290076337,1.61461828442276,0,5.5,6.5,7.5,10
"ic5_per1lower",6550,0,-6.49702290076337,1.61461828442276,-10,-7.5,-6.5,-5.5,0
