"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S1_M3_ic5_lag1y","ic5_per1lower",0.132561772556857,0.0264978740113288,5.00273238902795,5.65233808571957e-07,1.1417495426994,1.08396638655955,1.20261295407122,5070,889
"all_cause","S2_M3_ic5_syn","ic5_per1lower",0.138830330825583,0.0262918068171086,5.28036478403012,1.28926941588041e-07,1.1489291456056,1.09122327365479,1.20968660904827,5083,902
"all_cause","S3_M3_ic5_hxht_hxdm","ic5_per1lower",0.131872009276968,0.0262594843704495,5.02188113889116,5.11678463172989e-07,1.1409622773346,1.08372520034013,1.20122233744494,5112,908
"all_cause","S4_M3_ic5_marital_missingcat","ic5_per1lower",0.134679618638827,0.0260517052388589,5.16970453196813,2.34464398529985e-07,1.1441701548322,1.08721481948503,1.20410917856033,5138,914
"all_cause","S5_M3_ic5_plus_cxcopd","ic5_per1lower",0.147659522784602,0.0265701451657466,5.55734723553411,2.73905524944692e-08,1.15911817584129,1.10030013786981,1.22108041190177,5022,891
